"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (Degrees C) for years 1970 to 2021 ",26.6,26.6,24.2,20.4,16.7,13.7,13.2,14.4,16.8,19.5,22.2,24.7,19.9,51,1970,2021
"Highest temperature (Degrees C) for years 1970 to 2021 ",46.0,46.8,40.8,34.5,27.0,21.8,22.7,25.6,30.2,36.0,41.6,44.6,46.8,51,1970,2021
"Date of Highest temperature for years 1970 to 2021 ",25 Jan  2019,07 Feb  2009,08 Mar  1991,10 Apr  2005,07 May  2002,08 Jun  2005,30 Jul  1975,29 Aug  1982,23 Sep  2017,12 Oct  2006,21 Nov  2019,20 Dec  2019,07 Feb  2009,N/A,1970,2021
"Lowest maximum temperature (Degrees C) for years 1970 to 2021 ",13.9,13.5,12.7,11.7,8.0,6.2,5.7,6.5,8.2,10.4,11.6,13.0,5.7,51,1970,2021
"Date of Lowest maximum temperature for years 1970 to 2021 ",05 Jan  1991,02 Feb  2005,29 Mar  1973,07 Apr  1995,31 May  1977,19 Jun  1975,03 Jul  1984,16 Aug  1970,05 Sep  1995,16 Oct  1974,15 Nov  2006,04 Dec  1995,03 Jul  1984,N/A,1970,2021
"Decile 1 maximum temperature (Degrees C) for years 1970 to 2021 ",19.8,19.8,18.2,15.5,13.3,11.1,10.6,11.5,12.8,14.4,15.9,18.2, ,47,1970,2021
"Decile 9 maximum temperature (Degrees C) for years 1970 to 2021 ",35.6,34.9,31.5,26.1,20.8,16.3,15.6,17.9,21.2,25.5,29.6,32.7, ,47,1970,2021
"Mean number of days >= 30 Degrees C for years 1970 to 2021 ",8.6,8.4,4.9,0.4,0.0,0.0,0.0,0.0,0.0,1.0,3.1,6.2,32.6,51,1970,2021
"Mean number of days >= 35 Degrees C for years 1970 to 2021 ",3.8,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,10.1,51,1970,2021
"Mean number of days >= 40 Degrees C for years 1970 to 2021 ",0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.6,51,1970,2021
"Mean minimum temperature (Degrees C) for years 1970 to 2021 ",13.8,14.1,12.7,10.2,8.3,6.2,5.5,5.9,7.1,8.5,10.4,12.1,9.6,51,1970,2021
"Lowest temperature (Degrees C) for years 1970 to 2021 ",6.0,4.8,3.7,1.2,0.6,-0.9,-2.5,-2.5,-1.1,1.0,0.9,3.5,-2.5,51,1970,2021
"Date of Lowest temperature for years 1970 to 2021 ",27 Jan  1980,10 Feb  1980,26 Mar  2005,30 Apr  2009,19 May  1981,15 Jun  1972,21 Jul  1982,11 Aug  1986,20 Sep  1970,01 Oct  2019,04 Nov  1980,05 Dec  2011,11 Aug  1986,N/A,1970,2021
"Highest minimum temperature (Degrees C) for years 1970 to 2021 ",30.5,26.9,25.4,21.7,16.5,14.1,12.7,13.5,18.5,21.8,23.6,26.3,30.5,51,1970,2021
"Date of Highest minimum temperature for years 1970 to 2021 ",29 Jan  2009,20 Feb  1997,01 Mar  2019,02 Apr  2014,02 May  1997,09 Jun  1995,19 Jul  2013,19 Aug  2016,24 Sep  2001,13 Oct  1977,02 Nov  1987,12 Dec  1998,29 Jan  2009,N/A,1970,2021
"Decile 1 minimum temperature (Degrees C) for years 1970 to 2021 ",9.6,10.0,8.7,6.2,4.5,2.5,2.1,2.8,3.4,4.4,6.3,8.1, ,47,1970,2021
"Decile 9 minimum temperature (Degrees C) for years 1970 to 2021 ",18.1,18.6,16.9,14.3,12.0,9.4,8.5,9.1,11.0,12.8,15.0,16.4, ,47,1970,2021
"Mean number of days <= 2 Degrees C for years 1970 to 2021 ",0.0,0.0,0.0,0.0,0.2,2.2,3.0,1.9,1.1,0.2,0.0,0.0,8.6,51,1970,2021
"Mean number of days <= 0 Degrees C for years 1970 to 2021 ",0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.1,0.0,0.0,0.0,1.1,51,1970,2021
"Mean daily ground minimum temperature Degrees C for years 1999 to 2021 ",12.6,12.9,11.3,8.5,6.3,4.6,4.0,4.3,5.4,6.7,9.2,10.4,8.0,19,1999,2021
"Lowest ground temperature Degrees C for years 1999 to 2021 ",3.2,3.4,0.0,-0.4,-1.1,-2.2,-3.5,-3.1,-3.0,-1.4,0.8,1.1,-3.5,19,1999,2021
"Date of Lowest ground temperature  for years 1999 to 2021 ",03 Jan  2009,13 Feb  2009,26 Mar  2005,30 Apr  2009,23 May  2010,25 Jun  2005,02 Jul  2017,03 Aug  2014,13 Sep  2013,16 Oct  2006,11 Nov  2013,05 Dec  2011,02 Jul  2017,N/A,1999,2021
"Mean number of days ground min. temp. <= -1 Degrees C for years 1999 to 2021 ",0.0,0.0,0.0,0.0,0.1,1.2,1.4,1.6,0.3,0.1,0.0,0.0,4.7,19,1999,2021
"Mean rainfall (mm) for years 1970 to 2021 ",42.4,40.8,37.5,44.2,40.0,40.3,35.2,44.3,46.1,52.8,61.4,50.6,534.9,50,1970,2021
"Highest rainfall (mm) for years 1970 to 2021 ",106.4,200.6,142.2,141.6,155.5,126.0,94.4,97.1,127.0,143.8,158.0,139.0,820.8,51,1970,2021
"Date of Highest rainfall for years 1970 to 2021 ",2021,2005,2001,1977,1974,2013,1987,1975,1993,1975,1988,1999,1978,N/A,1970,2021
"Lowest rainfall (mm) for years 1970 to 2021 ",1.6,1.0,4.4,4.8,8.0,10.4,7.0,15.4,8.2,5.6,18.2,1.6,310.2,51,1970,2021
"Date of Lowest rainfall for years 1970 to 2021 ",2009,1991,1998,1981,2005,2006,1994,2011,2007,2007,2002,1972,1997,N/A,1970,2021
"Decile 1 monthly rainfall (mm) for years 1970 to 2021 ",9.8,5.2,13.2,12.6,12.9,16.1,12.8,19.4,21.4,20.2,25.6,12.0,384.6,51,1970,2021
"Decile 5 (median) monthly rainfall (mm) for years 1970 to 2021 ",38.8,25.8,32.8,37.8,39.3,35.4,34.2,41.2,39.4,46.4,51.6,44.8,551.7,51,1970,2021
"Decile 9 monthly rainfall (mm) for years 1970 to 2021 ",89.8,94.4,64.0,96.8,61.1,66.9,61.0,69.4,76.8,91.4,113.0,93.8,678.7,51,1970,2021
"Highest daily rainfall (mm) for years 1970 to 2021 ",50.6,138.8,98.2,132.4,52.4,75.8,44.6,37.0,50.8,70.8,80.8,76.4,138.8,51,1970,2021
"Date of Highest daily rainfall for years 1970 to 2021 ",06 Jan  1995,03 Feb  2005,23 Mar  2001,08 Apr  1977,16 May  1974,01 Jun  2013,30 Jul  1987,07 Aug  1978,29 Sep  2011,16 Oct  1983,19 Nov  1978,27 Dec  1999,03 Feb  2005,N/A,1970,2021
"Mean number of days of rain for years 1970 to 2021 ",8.3,7.0,8.9,10.2,12.6,13.3,14.0,15.5,13.9,13.2,11.5,9.5,137.9,51,1970,2021
"Mean number of days of rain >= 1 mm for years 1970 to 2021 ",5.1,4.3,5.6,6.4,7.6,8.2,8.2,9.8,9.0,8.6,7.7,6.1,86.6,51,1970,2021
"Mean number of days of rain >= 10 mm for years 1970 to 2021 ",1.4,1.1,1.0,1.1,0.9,0.8,0.5,0.8,1.0,1.4,1.7,1.5,13.2,51,1970,2021
"Mean number of days of rain >= 25 mm for years 1970 to 2021 ",0.3,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,2.6,51,1970,2021
"Mean daily wind run (km) for years 1997 to 2021 ",456,438,428,404,440,450,485,500,506,463,445,457,456,23,1997,2021
"Maximum wind gust speed (km/h) for years 1970 to 2021 ",137,122,113,107,108,102,108,124,115,122,139,113,139,49,1970,2021
