Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0004,086282,1970,null,null,null,null,null,null,5.2,5.1,4.9,7.2,9.6,11.5,null
IDCJAC0004,086282,1971,14.3,15.5,14.0,11.4,7.4,6.3,4.7,4.7,6.4,7.6,9.2,11.6,9.4
IDCJAC0004,086282,1972,13.9,15.0,11.3,9.8,7.8,4.1,4.8,6.0,7.7,8.2,9.9,12.5,9.2
IDCJAC0004,086282,1973,14.6,14.9,10.8,10.9,7.6,4.9,3.8,5.5,7.4,9.2,10.0,12.5,9.3
IDCJAC0004,086282,1974,15.4,14.0,15.6,11.4,8.4,6.1,6.0,5.4,6.3,8.4,8.4,9.8,9.6
IDCJAC0004,086282,1975,11.4,14.4,11.4,9.7,9.4,5.5,6.7,6.1,7.8,9.7,11.6,13.6,9.8
IDCJAC0004,086282,1976,13.4,15.0,12.9,10.7,7.6,6.0,4.8,5.1,6.5,7.6,9.9,11.4,9.2
IDCJAC0004,086282,1977,12.7,13.8,11.9,9.3,7.5,6.2,3.8,6.4,5.7,8.5,9.7,11.0,8.9
IDCJAC0004,086282,1978,13.1,12.7,13.5,9.7,9.4,6.2,4.9,5.1,6.8,7.9,10.1,11.2,9.2
IDCJAC0004,086282,1979,14.8,14.7,12.6,9.2,7.1,7.1,4.6,5.0,7.1,9.0,10.9,11.4,9.5
IDCJAC0004,086282,1980,12.0,12.3,11.1,11.3,9.0,6.6,5.6,6.5,8.4,9.0,10.9,13.5,9.7
IDCJAC0004,086282,1981,16.1,16.3,11.8,10.2,8.2,6.2,6.4,6.2,7.9,8.0,9.9,11.8,9.9
IDCJAC0004,086282,1982,14.8,13.9,13.3,10.1,8.3,4.4,3.1,6.2,5.4,7.6,10.5,12.1,9.1
IDCJAC0004,086282,1983,11.1,15.2,14.3,9.0,8.8,5.1,5.3,6.7,7.2,8.6,10.1,12.5,9.5
IDCJAC0004,086282,1984,12.5,12.8,11.2,9.1,6.6,5.9,4.1,6.6,6.3,8.4,10.4,10.2,8.7
IDCJAC0004,086282,1985,12.2,12.1,14.3,11.6,8.4,5.6,4.4,5.9,6.8,7.9,10.8,12.3,9.4
IDCJAC0004,086282,1986,11.4,12.1,12.7,9.6,8.8,5.8,5.4,5.4,6.9,7.5,9.5,10.7,8.8
IDCJAC0004,086282,1987,11.0,11.8,10.9,10.5,8.5,6.4,4.6,6.0,7.9,8.2,11.1,11.3,9.0
IDCJAC0004,086282,1988,14.3,12.9,13.0,11.1,10.2,6.8,6.4,6.5,7.4,8.6,10.3,13.5,10.1
IDCJAC0004,086282,1989,13.1,14.2,14.4,11.4,9.3,5.0,4.8,4.9,6.5,7.7,10.7,11.8,9.5
IDCJAC0004,086282,1990,13.5,13.6,12.5,10.9,7.4,5.7,6.3,5.6,6.9,9.0,10.6,12.1,9.5
IDCJAC0004,086282,1991,14.7,12.1,11.5,9.2,8.0,8.4,6.4,5.9,6.9,9.6,8.9,11.7,9.4
IDCJAC0004,086282,1992,11.3,13.0,14.4,10.8,8.5,6.7,6.2,5.0,6.3,9.4,9.8,13.8,9.6
IDCJAC0004,086282,1993,14.3,14.6,12.6,10.9,8.6,6.8,6.3,6.8,8.0,8.3,9.7,11.7,9.9
IDCJAC0004,086282,1994,11.6,14.6,11.7,10.6,8.2,6.5,5.8,4.9,6.3,8.7,10.1,13.8,9.4
IDCJAC0004,086282,1995,15.3,14.7,11.9,8.5,8.5,6.8,5.6,6.3,6.1,8.1,10.3,10.1,9.4
