Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,086282,1970,null,null,null,null,null,null,18.3,61.3,50.5,30.0,65.5,85.9,null
IDCJAC0001,086282,1971,49.1,70.0,27.1,46.5,39.8,37.8,17.7,25.5,32.3,50.0,145.5,71.0,612.3
IDCJAC0001,086282,1972,61.2,131.0,16.0,40.9,24.4,13.2,23.1,45.4,22.4,37.7,51.5,1.6,468.4
IDCJAC0001,086282,1973,38.7,176.0,61.7,20.0,33.7,38.8,26.5,69.4,38.4,65.5,31.4,58.4,658.5
IDCJAC0001,086282,1974,78.0,25.4,40.6,126.0,155.5,12.5,60.8,68.6,59.8,87.7,62.9,26.5,804.3
IDCJAC0001,086282,1975,17.0,19.4,36.2,20.4,44.9,29.1,19.1,97.1,76.8,143.8,50.8,49.4,604.0
IDCJAC0001,086282,1976,22.8,29.0,37.6,16.3,11.6,34.8,12.8,65.4,79.4,76.6,67.6,32.8,486.7
IDCJAC0001,086282,1977,56.8,50.2,16.4,141.6,32.6,97.4,38.2,17.0,78.6,17.8,47.8,9.0,603.4
IDCJAC0001,086282,1978,53.2,20.0,56.2,118.2,84.8,31.0,48.6,91.4,50.8,46.4,134.8,85.4,820.8
IDCJAC0001,086282,1979,37.0,35.8,23.0,39.0,61.6,11.8,11.0,41.6,50.8,68.8,25.6,15.6,421.6
IDCJAC0001,086282,1980,42.8,12.4,22.0,41.2,42.2,41.6,23.2,32.6,21.4,91.4,26.8,41.0,438.6
IDCJAC0001,086282,1981,44.4,24.2,32.8,4.8,92.2,46.6,61.0,77.6,10.6,53.6,48.4,24.4,520.6
IDCJAC0001,086282,1982,49.4,6.4,40.0,14.8,23.6,25.4,9.6,24.6,32.2,30.2,58.6,60.0,374.8
IDCJAC0001,086282,1983,41.4,8.2,38.4,41.6,52.0,35.2,60.6,64.8,66.0,123.8,67.2,22.8,622.0
IDCJAC0001,086282,1984,51.2,17.6,41.4,49.8,11.8,19.0,44.6,42.9,76.8,25.0,43.4,21.0,444.5
IDCJAC0001,086282,1985,17.8,5.2,57.6,32.8,51.8,53.4,35.4,60.0,48.8,44.6,101.6,130.2,639.2
IDCJAC0001,086282,1986,14.6,10.2,9.4,32.8,47.4,18.2,53.2,41.2,41.0,51.6,37.2,56.2,413.0
IDCJAC0001,086282,1987,89.8,48.2,36.8,19.8,51.6,58.8,94.4,16.4,28.6,34.4,54.2,93.8,626.8
IDCJAC0001,086282,1988,55.8,7.6,27.0,13.6,56.6,43.0,41.8,40.2,33.0,22.4,158.0,65.0,564.0
IDCJAC0001,086282,1989,53.4,16.0,85.8,74.4,45.8,83.0,44.0,56.0,28.2,72.0,22.8,16.8,598.2
IDCJAC0001,086282,1990,4.4,119.4,29.6,80.6,9.4,38.8,68.5,41.0,41.2,65.2,26.0,36.2,560.3
IDCJAC0001,086282,1991,101.6,1.0,19.4,45.0,20.4,105.4,48.2,42.6,58.6,26.0,20.4,75.8,564.4
IDCJAC0001,086282,1992,34.8,20.8,23.6,48.6,46.2,32.8,32.2,60.4,119.8,90.0,93.2,62.4,664.8
IDCJAC0001,086282,1993,66.6,40.0,63.0,16.4,25.8,29.6,45.0,35.2,127.0,52.8,69.2,79.8,650.4
IDCJAC0001,086282,1994,27.0,94.4,26.2,37.8,23.0,46.0,7.0,22.8,31.8,29.0,22.4,15.4,382.8
IDCJAC0001,086282,1995,90.0,25.8,50.4,74.2,61.0,41.8,39.4,39.4,37.8,97.6,90.8,32.8,681.0
IDCJAC0001,086282,1996,71.0,97.2,35.6,54.0,40.2,55.8,57.4,36.2,55.2,25.6,55.6,12.0,595.8
IDCJAC0001,086282,1997,23.0,4.4,5.6,10.6,38.8,32.2,19.2,19.4,55.2,30.0,65.8,6.0,310.2
IDCJAC0001,086282,1998,42.8,53.8,4.4,33.6,33.0,49.2,35.6,25.0,23.4,47.8,51.2,62.0,461.8
IDCJAC0001,086282,1999,34.2,45.4,69.6,14.0,27.8,28.2,12.2,71.8,28.6,54.4,29.4,139.0,554.6
IDCJAC0001,086282,2000,41.2,34.6,24.6,39.6,78.4,27.6,35.0,31.0,65.2,124.4,38.2,18.4,558.2
IDCJAC0001,086282,2001,7.2,11.4,142.2,96.8,13.4,35.6,10.0,43.4,20.8,51.0,56.6,50.0,538.4
