;"Turnover; Total Sales (State); Online Food Retailing ;";"Turnover; Total Sales (State); Online Non-Food Retailing ;";"Turnover Sales; Total (State); Online Total (Industry) ;";"Turnover; Total Sales (State); Online Food Retailing ;";"Turnover; Total Sales (State); Online Non-Food Retailing ;";"Turnover Sales; Total (State); Online Total (Industry) ;";"Turnover; Total Sales (State); Online Food Retailing ;";"Turnover; Total Sales (State); Online Non-Food Retailing ;";"Turnover Sales; Total (State); Online Total (Industry) ;"
Unit;$ Millions;$ Millions;$ Millions;$ Millions;$ Millions;$ Millions;$ Millions;$ Millions;$ Millions
Series Type;Original;Original;Original;Seasonally Adjusted;Seasonally Adjusted;Seasonally Adjusted;Trend;Trend;Trend
Data Type;FLOW;FLOW;FLOW;FLOW;FLOW;FLOW;FLOW;FLOW;FLOW
Frequency;Month;Month;Month;Month;Month;Month;Month;Month;Month
Collection Month;1;1;1;1;1;1;1;1;1
Series Start;Jul-2013;Jul-2013;Jul-2013;Jul-2013;Jul-2013;Jul-2013;Jul-2013;Jul-2013;Jul-2013
Series End;Feb-2021;Feb-2021;Feb-2021;Feb-2021;Feb-2021;Feb-2021;Feb-2021;Feb-2021;Feb-2021
No. Obs;92;92;92;92;92;92;92;92;92
Series ID;A117725601W;A117725602X;A117725605F;A117725565X;A117725566A;A117725569J;A117725583C;A117725584F;A117725587L
Jul-2013;142,8;312,8;455,6;139,5;331,4;470,9;137,4;322,9;460,3
Aug-2013;151,4;308,2;459,6;146,7;329,6;476,3;137,6;333,6;471,2
Sep-2013;144,7;321,5;466,2;139,7;322,7;462,4;138,3;344,6;482,9
Oct-2013;132,2;368,8;501,0;127,9;351,6;479,5;139,4;356,2;495,6
Nov-2013;139,2;451,3;590,5;138,5;388,1;526,6;141,1;368,3;509,4
Dec-2013;134,9;495,1;630,0;131,1;381,7;512,7;143,9;380,2;524,0
Jan-2014;137,8;388,2;526,0;148,1;399,4;547,5;147,9;390,5;538,4
Feb-2014;142,2;356,2;498,4;154,9;426,4;581,3;152,8;399,0;551,8
Mar-2014;160,1;374,8;534,9;156,2;401,3;557,5;157,6;406,2;563,8
Apr-2014;152,4;371,1;523,5;161,3;412,0;573,3;161,5;413,7;575,2
May-2014;170,2;408,1;578,3;168,2;423,0;591,2;164,2;423,4;587,6
Jun-2014;166,4;435,7;602,1;165,2;432,1;597,4;166,1;435,8;601,9
Jul-2014;172,3;423,9;596,2;167,9;450,9;618,7;167,7;449,9;617,6
Aug-2014;171,4;427,8;599,2;165,9;464,5;630,3;169,2;464,6;633,8
Sep-2014;171,8;479,3;651,1;169,4;481,4;650,8;170,6;478,5;649,0
Oct-2014;182,2;532,8;715,0;175,2;502,3;677,5;171,8;491,9;663,6
Nov-2014;184,5;567,8;752,3;181,5;492,8;674,3;173,0;505,3;678,3
Dec-2014;178,3;684,9;863,2;174,4;515,1;689,5;174,2;518,8;693,0
Jan-2015;159,3;506,2;665,5;173,2;536,6;709,8;175,5;533,1;708,6
Feb-2015;160,6;454,9;615,5;174,9;544,8;719,6;177,4;547,5;724,9
Mar-2015;188,6;530,8;719,4;183,3;567,4;750,7;180,4;560,5;740,9
Apr-2015;177,2;519,9;697,1;185,1;567,5;752,6;185,0;571,1;756,0
May-2015;190,6;549,5;740,1;187,5;577,5;765,1;190,8;578,0;768,8
Jun-2015;194,3;596,2;790,5;196,6;591,5;788,1;197,1;580,4;777,5
Jul-2015;210,9;540,0;750,9;203,7;568,7;772,5;203,1;579,3;782,4
Aug-2015;217,5;543,3;760,8;209,2;582,7;791,9;207,9;575,7;783,7
Sep-2015;217,0;577,6;794,6;215,9;581,3;797,3;211,1;572,0;783,1
Oct-2015;216,2;573,1;789,3;211,1;552,6;763,7;212,4;570,6;783,1
Nov-2015;219,4;673,3;892,7;211,0;566,7;777,7;212,4;573,4;785,9
Dec-2015;228,3;770,6;998,9;222,6;583,5;806,1;211,8;581,0;792,9
Jan-2016;194,9;585,7;780,6;209,4;636,5;845,9;211,4;593,0;804,4
Feb-2016;201,4;530,8;732,2;211,7;610,4;822,1;211,1;607,8;819,0
Mar-2016;215,0;595,6;810,6;211,2;624,8;835,9;211,0;623,4;834,4
Apr-2016;204,8;566,6;771,4;218,6;636,7;855,2;210,9;637,3;848,2
May-2016;213,2;627,2;840,4;208,3;650,1;858,5;211,0;650,0;861,0
Jun-2016;211,6;692,5;904,1;212,2;672,8;885,0;212,1;662,8;874,9
Jul-2016;216,9;610,4;827,3;210,7;664,8;875,5;214,6;676,2;890,7
Aug-2016;229,8;642,0;871,8;221,7;670,4;892,2;218,8;689,7;908,5
Sep-2016;226,6;697,2;923,8;221,3;704,7;925,9;224,8;701,8;926,6
Oct-2016;240,0;746,0;986,0;233,8;725,2;959,1;231,9;711,0;942,9
Nov-2016;245,1;863,7;1108,8;240,6;717,0;957,6;239,5;715,8;955,3
Dec-2016;252,3;1012,8;1265,1;246,5;781,1;1027,6;246,8;716,4;963,2
Jan-2017;247,7;655,3;903,0;263,6;714,0;977,6;254,1;713,1;967,2
Feb-2017;238,9;586,5;825,4;261,6;705,0;966,5;261,3;709,1;970,4
Mar-2017;258,8;680,3;939,1;252,3;713,1;965,4;268,2;709,6;977,9
Apr-2017;256,0;606,0;862,0;272,9;677,3;950,3;274,2;717,8;992,0
May-2017;283,7;717,0;1000,7;280,9;727,1;1008,0;278,7;734,3;1013,0
